applicant_id,contribution_month,employer_name,ordinary_wages,employee_contribution,employer_contribution,total_contribution,oa_balance_eom,sa_balance_eom,ma_balance_eom
APP0002,2025-06,SELF-EMPLOYED,9519.31,1903.86,1618.28,3522.14,48817.8,8489.76,62186.9
APP0002,2025-05,Bonilla Inc,9186.48,1837.3,1561.7,3399.0,46628.44,7728.27,61615.61
APP0002,2025-04,"Sanchez, Miller and Flores",8754.1,1750.82,1488.2,3239.02,44515.62,6993.41,61064.29
APP0002,2025-03,"Watts, Merritt and Meyer",9186.01,1837.2,1561.62,3398.82,42502.25,6293.13,60538.92
APP0003,2026-05,Maldonado-Gonzales,6013.67,1202.73,1022.32,2225.05,39992.41,51760.34,38706.35
APP0003,2026-04,"Strickland, Thompson and Hall",5822.56,1164.51,989.84,2154.35,38609.32,51279.28,38345.44
APP0003,2026-03,Mercado-Kennedy,5937.47,1187.49,1009.37,2196.86,37270.18,50813.51,37996.01
APP0003,2026-02,"Benson, Patterson and Duran",5889.71,1177.94,1001.25,2179.19,35904.61,50338.55,37639.68
APP0003,2026-01,Davies Inc,5974.97,1194.99,1015.74,2210.73,34550.03,49867.41,37286.21
APP0003,2025-12,Moreno PLC,5743.96,1148.79,976.47,2125.26,33175.84,49389.45,36927.63
APP0003,2025-11,Watkins-Strong,6259.96,1251.99,1064.19,2316.18,31854.78,48929.97,36582.91
APP0003,2025-10,"Farrell, Schmidt and Sutton",5921.72,1184.34,1006.69,2191.03,30415.04,48429.21,36207.23
APP0003,2025-09,Pierce-Kirk,6122.12,1224.42,1040.76,2265.18,29053.09,47955.51,35851.85
APP0003,2025-08,SELF-EMPLOYED,6092.39,1218.48,1035.71,2254.19,27645.06,47465.78,35484.43
APP0003,2025-07,Thomas and Sons,5879.63,1175.93,999.54,2175.47,26243.85,46978.42,35118.8
APP0003,2025-06,"Johnson, Walker and Rivera",5780.57,1156.11,982.7,2138.81,24891.58,46508.09,34765.94
APP0003,2025-05,"Keith, Poole and Price",6031.93,1206.39,1025.43,2231.82,23562.1,46045.68,34419.03
APP0003,2025-04,Peterson-Mcgrath,6130.57,1226.11,1042.2,2268.31,22174.8,45563.16,34057.03
APP0003,2025-03,Pacheco-Erickson,5858.39,1171.68,995.93,2167.61,20764.82,45072.75,33689.11
APP0004,2026-05,"Phillips, Lucero and Chen",9208.61,1841.72,1565.46,3407.18,124404.67,53767.97,50553.21
APP0004,2026-04,SELF-EMPLOYED,9385.61,1877.12,1595.55,3472.67,122286.76,53031.33,50000.56
APP0004,2026-03,"Ray, Hopkins and Sanders",9731.63,1946.33,1654.38,3600.71,120128.15,52280.54,49437.29
APP0004,2026-02,"Singh, Smith and Wright",9649.61,1929.92,1640.43,3570.35,117889.95,51502.07,48853.26
APP0004,2026-01,SELF-EMPLOYED,0.0,0.0,0.0,0.0,115670.62,50730.16,48274.15
APP0004,2025-12,Marquez-Blanchard,9987.77,1997.55,1697.92,3695.47,115670.62,50730.16,48274.15
APP0004,2025-11,Mitchell Group,9679.21,1935.84,1645.47,3581.31,113373.52,49931.2,47674.74
APP0004,2025-10,Howell Inc,9415.93,1883.19,1600.71,3483.9,111147.38,49156.92,47093.85
APP0004,2025-09,Martin Group,9946.27,1989.25,1690.87,3680.12,108981.78,48403.7,46528.77
APP0004,2025-08,"White, Roberts and King",9359.55,1871.91,1591.12,3463.03,106694.22,47608.06,45931.85
APP0004,2025-07,Lewis Ltd,9968.77,1993.75,1694.69,3688.44,104541.6,46859.35,45370.15
APP0004,2025-06,Fox-James,9268.37,1853.67,1575.62,3429.29,102248.87,46061.91,44771.88
APP0004,2025-05,Cochran-Lee,10057.16,2011.43,1709.72,3721.15,100117.22,45320.5,44215.65
APP0004,2025-04,Williams-Herrera,9143.79,1828.76,1554.44,3383.2,97804.15,44515.99,43612.08
APP0004,2025-03,Callahan-Moyer,10013.58,2002.72,1702.31,3705.03,95701.16,43784.54,43063.33
APP0005,2026-05,Smith Ltd,8887.79,1777.56,1510.92,3288.48,93169.57,58760.2,18011.1
APP0005,2026-04,"Mendoza, Wright and Garcia",8743.37,1748.67,1486.37,3235.04,91125.45,58049.23,17477.71
APP0005,2026-03,Holmes Inc,8847.41,1769.48,1504.06,3273.54,89114.55,57349.81,16952.99
APP0005,2026-02,"Smith, Crawford and Rogers",8922.72,1784.54,1516.86,3301.4,87079.72,56642.07,16422.02
APP0005,2026-01,"Davis, Mata and Johnson",8666.53,1733.31,1473.31,3206.62,85027.57,55928.31,15886.53
APP0005,2025-12,Jenkins-Taylor,9431.56,1886.31,1603.37,3489.68,83034.33,55235.04,15366.42
APP0005,2025-11,Foster PLC,9228.75,1845.75,1568.89,3414.64,80865.15,54480.57,14800.39
APP0005,2025-10,Le PLC,9132.96,1826.59,1552.6,3379.19,78742.61,53742.32,14246.54
APP0005,2025-09,"Rocha, Villanueva and Perry",9528.06,1905.61,1619.77,3525.38,76642.1,53011.74,13698.43
APP0005,2025-08,"Mason, Salinas and Newman",8886.57,1777.31,1510.72,3288.03,74450.73,52249.56,13126.62
APP0005,2025-07,"Smith, Valdez and Casey",9307.98,1861.6,1582.36,3443.96,72406.89,51538.68,12593.3
APP0005,2025-06,Blair PLC,9110.39,1822.08,1548.77,3370.85,70266.12,50794.1,12034.69
APP0005,2025-05,Robinson and Sons,8876.8,1775.36,1509.06,3284.42,68170.8,50065.32,11487.94
APP0005,2025-04,"Russell, Dixon and Hahn",0.0,0.0,0.0,0.0,66129.21,49355.23,10955.2
APP0005,2025-03,Thomas-Thornton,9299.68,1859.94,1580.95,3440.89,66129.21,49355.23,10955.2
APP0006,2026-05,"Gutierrez, Anderson and Howell",7177.48,1435.5,1220.17,2655.67,58296.1,51368.13,29001.75
APP0006,2026-04,Morton and Sons,7372.65,1474.53,1253.35,2727.88,56645.34,50793.97,28571.01
APP0006,2026-03,"Taylor, Williams and Fletcher",7664.82,1532.96,1303.02,2835.98,54949.69,50204.21,28128.54
APP0006,2026-02,Figueroa-Moreno,7431.29,1486.26,1263.32,2749.58,53186.84,49591.07,27668.55
APP0006,2026-01,Sanchez-Higgins,7220.47,1444.09,1227.48,2671.57,51477.71,48996.61,27222.57
APP0006,2025-12,Brown-Fischer,7632.99,1526.6,1297.61,2824.21,49817.06,48419.02,26789.24
APP0006,2025-11,Harvey-Hicks,7350.71,1470.14,1249.62,2719.76,48061.53,47808.42,26331.15
APP0006,2025-10,"Smith, Thomas and Parker",0.0,0.0,0.0,0.0,46370.93,47220.41,25890.0
APP0006,2025-09,Jackson LLC,7559.99,1512.0,1285.2,2797.2,46370.93,47220.41,25890.0
APP0006,2025-08,Huff Inc,7456.62,1491.32,1267.63,2758.95,44632.19,46615.65,25436.3
APP0006,2025-07,Martin-Ramos,7800.89,1560.18,1326.15,2886.33,42917.22,46019.17,24988.8
APP0006,2025-06,Valdez-Gallagher,7188.6,1437.72,1222.06,2659.78,41123.08,45395.15,24520.63
APP0006,2025-05,"Larsen, Smith and Dixon",7376.39,1475.28,1253.99,2729.27,39469.76,44820.1,24089.22
APP0006,2025-04,"Vasquez, Rivera and Johnson",7629.6,1525.92,1297.03,2822.95,37773.25,44230.03,23646.53
APP0006,2025-03,Potts Inc,7143.32,1428.66,1214.36,2643.02,36018.5,43619.71,23188.65
APP0007,2026-05,"Delacruz, Stewart and Lopez",6030.88,1206.18,1025.25,2231.43,95625.08,38560.84,41443.85
APP0007,2026-04,Rhodes and Sons,6381.75,1276.35,1084.9,2361.25,94238.02,38078.41,41081.91
APP0007,2026-03,"Brown, West and Potts",6296.46,1259.29,1070.4,2329.69,92770.27,37567.91,40698.91
APP0007,2026-02,"West, Cannon and Hernandez",5988.49,1197.7,1018.04,2215.74,91322.14,37064.23,40321.04
APP0007,2026-01,Miller PLC,6052.15,1210.43,1028.87,2239.3,89944.83,36585.18,39961.65
APP0007,2025-12,Bell LLC,6588.52,1317.7,1120.05,2437.75,88552.88,36101.05,39598.43
APP0007,2025-11,"Smith, Boyd and Hernandez",6141.99,1228.4,1044.14,2272.54,87037.58,35574.01,39203.03
APP0007,2025-10,Kelly Group,6489.89,1297.98,1103.28,2401.26,85624.97,35082.68,38834.42
APP0007,2025-09,Koch-Watkins,6360.13,1272.03,1081.22,2353.25,84132.34,34563.53,38444.94
APP0007,2025-08,Hall-Santos,6370.97,1274.19,1083.06,2357.25,82669.56,34054.76,38063.24
APP0007,2025-07,Best-Walker,6508.26,1301.65,1106.4,2408.05,81204.3,33545.12,37680.89
APP0007,2025-06,"Smith, Lee and Johnson",6453.5,1290.7,1097.1,2387.8,79707.45,33024.5,37290.31
APP0007,2025-05,Dean-Walker,6140.76,1228.15,1043.93,2272.08,78223.2,32508.26,36903.01
APP0007,2025-04,Brown-Norris,6313.42,1262.68,1073.28,2335.96,76810.87,32017.03,36534.48
APP0007,2025-03,"Dickson, Knox and Williams",6033.81,1206.76,1025.75,2232.51,75358.84,31512.0,36155.58
APP0008,2026-05,Moore-Molina,5321.28,1064.26,904.62,1968.88,73679.27,51895.38,28588.95
APP0008,2026-04,"Brennan, George and Vincent",5157.57,1031.51,876.79,1908.3,72455.41,51469.71,28269.6
APP0008,2026-03,Lopez and Sons,5069.04,1013.81,861.74,1875.55,71269.21,51057.13,27960.08
APP0008,2026-02,"Rose, Pittman and Glover",5255.36,1051.07,893.41,1944.48,70103.37,50651.64,27655.86
APP0008,2026-01,Thornton-Green,5514.56,1102.91,937.48,2040.39,68894.68,50231.24,27340.47
APP0008,2025-12,Simmons-Chavez,5489.07,1097.81,933.14,2030.95,67626.38,49790.11,27009.51
APP0008,2025-11,"Thompson, Cervantes and Winters",5038.12,1007.62,856.48,1864.1,66363.94,49351.02,26680.09
APP0008,2025-10,Greene LLC,5487.33,1097.47,932.85,2030.32,65205.21,48948.0,26377.74
APP0008,2025-09,Alvarez-Jenkins,5431.18,1086.24,923.3,2009.54,63943.17,48509.04,26048.42
APP0008,2025-08,"Johnston, Wolfe and Wood",5151.89,1030.38,875.82,1906.2,62694.04,48074.58,25722.47
APP0008,2025-07,Rodriguez Ltd,5050.38,1010.08,858.56,1868.64,61509.14,47662.46,25413.29
APP0008,2025-06,Cochran PLC,5249.29,1049.86,892.38,1942.24,60347.6,47258.46,25110.19
APP0008,2025-05,Bowers LLC,5102.64,1020.53,867.45,1887.98,59140.3,46838.55,24795.16
APP0008,2025-04,"Gutierrez, Phillips and Brown",0.0,0.0,0.0,0.0,57966.73,46430.37,24488.93
APP0008,2025-03,Maxwell Inc,5049.36,1009.87,858.39,1868.26,57966.73,46430.37,24488.93
APP0009,2026-05,"Freeman, Coleman and Davis",4297.63,859.53,730.6,1590.13,101515.97,24840.0,23287.25
APP0009,2026-04,Foster Inc,4370.25,874.05,742.94,1616.99,100527.54,24496.22,23029.33
APP0009,2026-03,"Flores, Thompson and Lozano",4445.61,889.12,755.75,1644.87,99522.42,24146.62,22767.06
APP0009,2026-02,SELF-EMPLOYED,4388.52,877.7,746.05,1623.75,98499.97,23791.0,22500.26
APP0009,2026-01,Martin-Moyer,0.0,0.0,0.0,0.0,97490.65,23439.95,22236.89
APP0009,2025-12,Flores-Weeks,4432.48,886.5,753.52,1640.02,97490.65,23439.95,22236.89
APP0009,2025-11,Lyons-Murphy,4568.29,913.66,776.61,1690.27,96471.21,23085.37,21970.88
APP0009,2025-10,SELF-EMPLOYED,4364.71,872.94,742.0,1614.94,95420.54,22719.94,21696.72
APP0009,2025-09,Baird-Carter,4331.8,866.36,736.41,1602.77,94416.69,22370.79,21434.77
APP0009,2025-08,Mcclure-Johnson,4373.08,874.62,743.42,1618.04,93420.41,22024.27,21174.8
APP0009,2025-07,"Powell, Flores and Smith",4350.51,870.1,739.59,1609.69,92414.63,21674.45,20912.36
APP0009,2025-06,Richardson-Ellis,4326.54,865.31,735.51,1600.82,91414.05,21326.43,20651.26
APP0009,2025-05,SELF-EMPLOYED,4323.64,864.73,735.02,1599.75,90418.98,20980.34,20391.61
APP0009,2025-04,"Leonard, Sherman and Barron",4579.81,915.96,778.57,1694.53,89424.58,20634.47,20132.13
APP0009,2025-03,SELF-EMPLOYED,4596.76,919.35,781.45,1700.8,88371.26,20268.11,19857.28
APP0010,2026-05,"Peterson, Brown and Washington",7297.44,1459.49,1240.56,2700.05,47948.38,24174.83,18373.17
APP0010,2026-04,Peck Ltd,7866.22,1573.24,1337.26,2910.5,46270.03,23591.08,17935.23
APP0010,2026-03,"Smith, Page and Padilla",7967.72,1593.54,1354.51,2948.05,44460.87,22961.83,17463.14
APP0010,2026-02,Woodward LLC,7545.57,1509.11,1282.75,2791.86,42628.36,22324.46,16984.97
APP0010,2026-01,"Hansen, Gordon and Eaton",7479.34,1495.87,1271.49,2767.36,40892.94,21720.86,16532.13
APP0010,2025-12,Thompson PLC,7300.21,1460.04,1241.04,2701.08,39172.75,21122.56,16083.26
APP0010,2025-11,Rodriguez and Sons,7849.82,1569.96,1334.47,2904.43,37493.76,20538.59,15645.15
APP0010,2025-10,"Richardson, Ball and Brown",7777.68,1555.54,1322.21,2877.75,35688.36,19910.65,15174.05
APP0010,2025-09,Wallace Ltd,7834.23,1566.85,1331.82,2898.67,33899.55,19288.48,14707.28
APP0010,2025-08,Griffin and Sons,7551.04,1510.21,1283.68,2793.89,32097.74,18661.79,14237.11
APP0010,2025-07,Jarvis PLC,7867.3,1573.46,1337.44,2910.9,30361.06,18057.75,13783.95
APP0010,2025-06,"Wong, Cruz and Rodgers",7890.04,1578.01,1341.31,2919.32,28551.64,17428.41,13311.8
APP0010,2025-05,Price-Webb,7683.85,1536.77,1306.25,2843.02,26736.99,16797.25,12838.28
APP0010,2025-04,"Sims, Miller and Davis",0.0,0.0,0.0,0.0,24969.77,16182.59,12377.15
APP0010,2025-03,"Roberson, Freeman and Howard",7381.21,1476.24,1254.81,2731.05,24969.77,16182.59,12377.15
