doc_id,applicant_id,application_id,doc_type,period_covered,employer_name,basic_salary,variable_pay,gross_income,cpf_employee_deduct,net_income,commission_amount,assessed_year_income,tax_assessed,doc_verified,ocr_confidence,extraction_date
DOC-APP0005-PS-3,APP0005,LA0005,Payslip,2026-03,Edwards PLC,5624.17,803.45,6427.62,1285.52,5142.1,0.0,,,True,0.989,2026-04-14
DOC-APP0005-NOA-2025,APP0005,LA0005,NOA,2025,,,,,,,,86558.42,2380.0,False,0.942,2026-04-14
DOC-APP0005-NOA-2024,APP0005,LA0005,NOA,2024,,,,,,,,86412.34,2380.0,True,0.946,2026-04-14
DOC-APP0006-PS-1,APP0006,LA0006,Payslip,2026-05,Williams-Perry,14399.55,1362.12,15761.67,3152.33,12609.34,0.0,,,True,0.894,2026-01-17
DOC-APP0006-PS-2,APP0006,LA0006,Payslip,2026-04,"Hoffman, Brown and Cox",15158.89,1433.95,16592.84,3318.57,13274.27,0.0,,,True,0.952,2026-01-17
DOC-APP0006-PS-3,APP0006,LA0006,Payslip,2026-03,Humphrey-Randall,14895.07,1408.99,16304.07,3260.81,13043.26,0.0,,,True,0.921,2026-01-17
DOC-APP0006-NOA-2025,APP0006,LA0006,NOA,2025,,,,,,,,207083.58,6478.5,True,0.951,2026-01-17
DOC-APP0006-NOA-2024,APP0006,LA0006,NOA,2024,,,,,,,,207711.85,6478.5,True,0.938,2026-01-17
DOC-APP0007-PS-1,APP0007,LA0007,Payslip,2026-05,Howell-Matthews,7969.37,504.39,8473.76,1694.75,6779.01,0.0,,,True,0.884,2026-05-13
DOC-APP0007-PS-2,APP0007,LA0007,Payslip,2026-04,Brown-Luna,7937.72,502.39,8440.11,1688.02,6752.09,0.0,,,True,0.817,2026-05-13
DOC-APP0007-PS-3,APP0007,LA0007,Payslip,2026-03,Cook Inc,7802.88,493.85,8296.74,1659.35,6637.39,0.0,,,True,0.833,2026-05-13
DOC-APP0007-NOA-2025,APP0007,LA0007,NOA,2025,,,,,,,,113654.07,3398.5,True,0.986,2026-05-13
DOC-APP0007-NOA-2024,APP0007,LA0007,NOA,2024,,,,,,,,117389.03,3398.5,True,0.966,2026-05-13
DOC-APP0007-COMM,APP0007,LA0007,Commission Statement,2025,"Salas, Hunter and Baker",,,,,,13445.58,,,True,0.933,2026-05-13
DOC-APP0008-PS-1,APP0008,LA0008,Payslip,2026-05,Johnson Inc,21919.54,2638.46,24558.0,4911.6,19646.4,0.0,,,True,0.822,2026-02-21
DOC-APP0008-PS-2,APP0008,LA0008,Payslip,2026-04,Mullins-Johnson,22199.91,2672.21,24872.12,4974.42,19897.7,0.0,,,True,0.984,2026-02-21
DOC-APP0008-PS-3,APP0008,LA0008,Payslip,2026-03,Wilson LLC,22066.74,2656.18,24722.92,4944.58,19778.34,0.0,,,True,0.986,2026-02-21
DOC-APP0008-NOA-2025,APP0008,LA0008,NOA,2025,,,,,,,,350634.97,11130.0,True,0.901,2026-02-21
DOC-APP0008-NOA-2024,APP0008,LA0008,NOA,2024,,,,,,,,345860.04,11130.0,True,0.925,2026-02-21
DOC-APP0009-PS-1,APP0009,LA0009,Payslip,2026-05,"Carson, Freeman and Mason",8891.25,1616.59,10507.84,2101.57,8406.27,0.0,,,True,0.911,2026-01-04
DOC-APP0009-PS-2,APP0009,LA0009,Payslip,2026-04,Payne Inc,8970.24,1630.95,10601.19,2120.24,8480.95,0.0,,,False,0.821,2026-01-04
DOC-APP0009-PS-3,APP0009,LA0009,Payslip,2026-03,"Bradford, Adams and Collins",8659.46,1574.45,10233.9,2046.78,8187.12,0.0,,,True,0.968,2026-01-04
DOC-APP0009-NOA-2025,APP0009,LA0009,NOA,2025,,,,,,,,365788.18,12040.0,True,0.881,2026-01-04
DOC-APP0009-NOA-2024,APP0009,LA0009,NOA,2024,,,,,,,,351280.88,12040.0,True,0.977,2026-01-04
DOC-APP0010-PS-1,APP0010,LA0010,Payslip,2026-05,Miller-Brock,10939.48,994.5,11933.97,2386.79,9547.18,0.0,,,True,0.98,2026-01-27
DOC-APP0010-PS-2,APP0010,LA0010,Payslip,2026-04,Gonzales Ltd,10870.88,988.26,11859.14,2371.83,9487.31,0.0,,,True,0.818,2026-01-27
DOC-APP0010-PS-3,APP0010,LA0010,Payslip,2026-03,"Small, Maxwell and Gibson",11255.59,1023.24,12278.83,2455.77,9823.06,0.0,,,True,0.886,2026-01-27
DOC-APP0010-NOA-2025,APP0010,LA0010,NOA,2025,,,,,,,,177082.72,5414.5,True,0.982,2026-01-27
DOC-APP0010-NOA-2024,APP0010,LA0010,NOA,2024,,,,,,,,173569.72,5414.5,True,0.872,2026-01-27
